# WS4-CONSTRUCTED Willans-line BSFC map - NOT measured
# engine: V3307-V1C-W  (Kubota V3307-CR-T class, 55.4 kW rated)
# displacement_l: 3.331, eta_i0: 0.435, fmep_bar(a0,a1,a2): (0.9, 0.32, 0.09), LHV_MJ_per_kg: 42.8, full_load_derate_applied: 1.0
# torque printed to 1e-4 Nm so the (torque, BSFC) pair is self-consistent for downstream interpolators (adjudication r1 F6)
rpm,torque_Nm,bsfc_g_per_kWh
1177,71.4000,300.7
1177,74.9200,295.4
1177,78.4400,290.5
1177,81.9600,286.0
1177,85.4800,281.9
1177,89.0000,278.1
1177,92.5200,274.5
1177,96.0400,271.2
1177,99.5600,268.1
1177,103.0800,265.1
1177,106.6000,262.4
1177,110.1200,260.0
1177,113.6400,258.0
1177,117.1600,256.1
1177,120.6800,254.3
1177,124.2000,252.6
1177,127.7200,251.0
1177,131.2400,249.5
1177,134.7600,248.0
1177,138.2800,246.7
1177,141.8000,245.4
1177,145.3200,244.1
1177,148.8400,243.0
1177,152.3600,241.8
1177,155.8800,240.8
1177,159.4000,239.7
1177,162.9200,238.8
1177,166.4400,237.8
1177,169.9600,236.9
1177,173.4800,236.1
1177,177.0000,235.2
1177,180.5200,234.4
1177,184.0400,233.7
1177,187.5600,232.9
1177,191.0800,232.2
1177,194.6000,231.5
1177,198.1200,230.9
1177,201.6400,230.2
1177,205.1600,229.8
1177,208.6800,230.4
1177,212.2000,231.0
1177,215.7200,231.6
1177,219.2400,232.3
1177,222.7600,232.9
1177,226.2800,233.7
1177,229.8000,234.4
1177,233.3200,235.1
1177,236.8400,235.9
1177,240.3600,236.7
1196,1.0000,7853.2
1196,4.5200,1893.5
1196,8.0400,1151.9
1196,11.5600,861.7
1196,15.0800,706.9
1196,18.6000,610.5
1196,22.1200,544.7
1196,25.6400,496.9
1196,29.1600,460.5
1196,32.6800,431.9
1196,36.2000,408.8
1196,39.7200,389.8
1196,43.2400,373.8
1196,46.7600,360.1
1196,50.2800,348.3
1196,53.8000,338.0
1196,57.3200,329.0
1196,60.8400,320.9
1196,64.3600,313.7
1196,67.8800,307.3
1196,71.4000,301.4
1196,74.9200,296.0
1196,78.4400,291.1
1196,81.9600,286.6
1196,85.4800,282.5
1196,89.0000,278.6
1196,92.5200,275.0
1196,96.0400,271.7
1196,99.5600,268.6
1196,103.0800,265.6
1196,106.6000,262.9
1196,110.1200,260.4
1196,113.6400,258.3
1196,117.1600,256.4
1196,120.6800,254.6
1196,124.2000,252.9
1196,127.7200,251.3
1196,131.2400,249.7
1196,134.7600,248.3
1196,138.2800,246.9
1196,141.8000,245.6
1196,145.3200,244.4
1196,148.8400,243.2
1196,152.3600,242.0
1196,155.8800,241.0
1196,159.4000,239.9
1196,162.9200,239.0
1196,166.4400,238.0
1196,169.9600,237.1
1196,173.4800,236.2
1196,177.0000,235.4
1196,180.5200,234.6
1196,184.0400,233.8
1196,187.5600,233.1
1196,191.0800,232.4
1196,194.6000,231.7
1196,198.1200,231.0
1196,201.6400,230.4
1196,205.1600,229.8
1196,208.6800,229.9
1196,212.2000,230.5
1196,215.7200,231.1
