corner,duty,candidate,seed,margin_vs_ruler_pct
hot_alt_2000m_45C,GH-REG-165,S5,8108,3.66491
hot_alt_2000m_45C,GH-REG-165,S5-13L,8101,7.93315
hot_alt_2000m_45C,GH-REG-165,S5-13L,8102,7.13478
hot_alt_2000m_45C,GH-REG-165,S5-13L,8103,4.84526
hot_alt_2000m_45C,GH-REG-165,S5-13L,8104,6.39981
hot_alt_2000m_45C,GH-REG-165,S5-13L,8105,7.08568
hot_alt_2000m_45C,GH-REG-165,S5-13L,8106,9.38159
hot_alt_2000m_45C,GH-REG-165,S5-13L,8107,6.93411
hot_alt_2000m_45C,GH-REG-165,S5-13L,8108,6.18825
hot_alt_2000m_45C,GH-REG-165,S6,8101,7.74986
hot_alt_2000m_45C,GH-REG-165,S6,8102,7.80317
hot_alt_2000m_45C,GH-REG-165,S6,8103,7.84901
hot_alt_2000m_45C,GH-REG-165,S6,8104,7.59465
hot_alt_2000m_45C,GH-REG-165,S6,8105,7.74763
hot_alt_2000m_45C,GH-REG-165,S6,8106,7.68307
hot_alt_2000m_45C,GH-REG-165,S6,8107,7.59061
hot_alt_2000m_45C,GH-REG-165,S6,8108,7.53921
hot_alt_2000m_45C,GH-REG-165,S7,8101,7.11144
hot_alt_2000m_45C,GH-REG-165,S7,8102,4.85134
hot_alt_2000m_45C,GH-REG-165,S7,8103,5.31458
hot_alt_2000m_45C,GH-REG-165,S7,8104,6.15525
hot_alt_2000m_45C,GH-REG-165,S7,8105,7.55601
hot_alt_2000m_45C,GH-REG-165,S7,8106,5.97753
hot_alt_2000m_45C,GH-REG-165,S7,8107,5.90321
hot_alt_2000m_45C,GH-REG-165,S7,8108,5.52002
hot_alt_2000m_45C,GH-REG-165,S4p,8101,17.6902
hot_alt_2000m_45C,GH-REG-165,S4p,8102,13.5748
hot_alt_2000m_45C,GH-REG-165,S4p,8103,15.1971
hot_alt_2000m_45C,GH-REG-165,S4p,8104,17.3257
hot_alt_2000m_45C,GH-REG-165,S4p,8105,20.2572
hot_alt_2000m_45C,GH-REG-165,S4p,8106,17.2741
hot_alt_2000m_45C,GH-REG-165,S4p,8107,16.2655
hot_alt_2000m_45C,GH-REG-165,S4p,8108,16.1057
hot_alt_2000m_45C,LH-520,S5,8101,-2.63576
hot_alt_2000m_45C,LH-520,S5,8102,-3.76607
hot_alt_2000m_45C,LH-520,S5,8103,-2.46691
hot_alt_2000m_45C,LH-520,S5,8104,-1.30387
hot_alt_2000m_45C,LH-520,S5,8105,-4.94763
hot_alt_2000m_45C,LH-520,S5,8106,-3.35759
hot_alt_2000m_45C,LH-520,S5,8107,-3.97961
hot_alt_2000m_45C,LH-520,S5,8108,-1.10348
hot_alt_2000m_45C,LH-520,S5-13L,8101,1.08689
hot_alt_2000m_45C,LH-520,S5-13L,8102,1.40197
hot_alt_2000m_45C,LH-520,S5-13L,8103,1.14262
hot_alt_2000m_45C,LH-520,S5-13L,8104,2.11884
hot_alt_2000m_45C,LH-520,S5-13L,8105,0.274752
hot_alt_2000m_45C,LH-520,S5-13L,8106,0.912682
hot_alt_2000m_45C,LH-520,S5-13L,8107,-0.00140547
hot_alt_2000m_45C,LH-520,S5-13L,8108,2.75379
hot_alt_2000m_45C,LH-520,S6,8101,7.41654
hot_alt_2000m_45C,LH-520,S6,8102,7.428
hot_alt_2000m_45C,LH-520,S6,8103,7.3693
hot_alt_2000m_45C,LH-520,S6,8104,7.50803
hot_alt_2000m_45C,LH-520,S6,8105,7.50591
hot_alt_2000m_45C,LH-520,S6,8106,7.35014
hot_alt_2000m_45C,LH-520,S6,8107,7.44637
hot_alt_2000m_45C,LH-520,S6,8108,7.35714
hot_alt_2000m_45C,LH-520,S7,8101,2.4365
hot_alt_2000m_45C,LH-520,S7,8102,1.6528
hot_alt_2000m_45C,LH-520,S7,8103,1.27876
hot_alt_2000m_45C,LH-520,S7,8104,1.83786
hot_alt_2000m_45C,LH-520,S7,8105,0.592148
hot_alt_2000m_45C,LH-520,S7,8106,2.00768
