corner,candidate,duty,seed,distance_km,duration_s,avg_speed_kmh,power_limited_frac,payload_kg,gcw_kg,fuel_g_raw,fuel_g_corrected,fuel_L_per_100km,grid_kWh,MJ_primary_per_payload_tkm,MJ_tank_per_payload_tkm,g_CO2_per_payload_tkm,unserved_kWh,charge_deficit_kWh,correction_share,correction_eta
payload_plus20,S5,LH-520,8101,520,23281.4,80.4076,0.254966,23964.1,40294,175142,175516,40.5686,0,0.71737,0.602832,53.1597,4.0891,-2.43729,0.00212734,0.372107
payload_plus20,S5,LH-520,8102,520,21789.5,85.913,0.328001,23964.1,40294,177745,178632,41.2888,0,0.730105,0.613534,54.1035,5.31165,-1.46103,0.00496463,0.365211
payload_plus20,S5,LH-520,8103,520,23384.4,80.0534,0.279313,23964.1,40294,187179,188290,43.5212,0,0.769582,0.646708,57.0289,7.15856,-2.21415,0.00590105,0.374297
payload_plus20,S5,LH-520,8104,520,24092.9,77.6993,0.234338,23964.1,40294,181321,182019,42.0716,0,0.743948,0.625166,55.1293,5.61854,-2.47197,0.00383373,0.379279
payload_plus20,S5,LH-520,8105,520,22496.3,83.2137,0.354937,23964.1,40294,202512,205866,47.5837,0,0.841419,0.707074,62.3522,12.1577,2.5033,0.0162947,0.367614
payload_plus20,S5,LH-520,8106,520,23021.2,81.3164,0.255794,23964.1,40294,175610,175802,40.6348,0,0.718541,0.603816,53.2466,3.31559,-2.47443,0.00109318,0.368147
payload_plus20,S5,LH-520,8107,520,22289.7,83.985,0.351569,23964.1,40294,191230,192996,44.6088,0,0.788814,0.662869,58.454,7.29929,0.367739,0.00914599,0.365349
payload_plus20,S5,LH-520,8108,520,23735.1,78.8706,0.220407,23964.1,40294,167488,167674,38.7559,0,0.685318,0.575897,50.7846,4.50092,-3.66995,0.00110582,0.376958
payload_plus20,S5-13L,GH-REG-165,8101,165.001,10790,55.0513,0.284205,23647.6,40241.3,51492.4,58637.5,42.7135,0,0.765408,0.6432,56.7195,35.5924,-4.14166,0.121853,0.370236
payload_plus20,S5-13L,GH-REG-165,8102,165,10609.2,55.9893,0.308277,23647.6,40241.3,57546.4,66035.4,48.1026,0,0.861977,0.72435,63.8756,40.9171,-2.84415,0.128553,0.37724
payload_plus20,S5-13L,GH-REG-165,8103,165.001,11013.6,53.9336,0.302224,23647.6,40241.3,52019.3,64255.6,46.806,0,0.838743,0.704826,62.1539,57.4988,-3.82355,0.190431,0.368964
payload_plus20,S5-13L,GH-REG-165,8104,165.001,10718.1,55.4207,0.277173,23647.6,40241.3,50196.8,59999.5,43.7056,0,0.783186,0.658139,58.0369,47.0646,-3.38069,0.163381,0.374828
payload_plus20,S5-13L,GH-REG-165,8105,165,10453,56.8258,0.282423,23647.6,40241.3,51817.6,59042.6,43.0089,0,0.7707,0.647647,57.1117,36.8841,-4.38108,0.12237,0.378391
payload_plus20,S5-13L,GH-REG-165,8106,165.001,10840.2,54.7964,0.28692,23647.6,40241.3,55301.4,61681.9,44.9312,0,0.805146,0.676594,59.6643,32.9601,-4.11568,0.103443,0.380245
payload_plus20,S5-13L,GH-REG-165,8107,165.001,10187.8,58.3053,0.277545,23647.6,40241.3,54972.6,60146.7,43.8129,0,0.785108,0.659754,58.1794,20.7424,2.50249,0.0860247,0.377877
payload_plus20,S5-13L,GH-REG-165,8108,165.001,10336.8,57.4649,0.260059,23647.6,40241.3,52456.5,58074.9,42.3038,0,0.758065,0.63703,56.1754,28.6422,-3.58177,0.0967449,0.375172
payload_plus20,S5-13L,LH-520,8101,520,22425,83.4783,0.16243,23647.6,40241.3,170021,168862,39.0305,0,0.699409,0.587739,51.8288,0.0150108,-5.39819,-0.00686858,0.390391
payload_plus20,S5-13L,LH-520,8102,520,20751.9,90.2087,0.200275,23647.6,40241.3,171623,170409,39.3881,0,0.705817,0.593123,52.3036,0.00264798,-5.62397,-0.00712537,0.389402
